日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2014-08-05,sh.603100,川仪股份,4.87101264,5.85004992,5.85004992,4.87101264,244298,2363995.0,0.244298,44.04763,100000000.0,585004992.0,2026-07-14
2014-08-06,sh.603100,川仪股份,6.4362636,6.4362636,6.4362636,6.4362636,107500,1144875.0,0.1075,10.0207,100000000.0,643626360.0,2026-07-14
2014-08-07,sh.603100,川仪股份,7.08291168,7.08291168,7.08291168,7.08291168,122758,1438724.0,0.122758,10.047,100000000.0,708291168.0,2026-07-14
2014-08-08,sh.603100,川仪股份,7.78999416,7.78999416,7.78999416,7.78999416,409690,5280904.0,0.40969,9.9829,100000000.0,778999416.0,2026-07-14
2014-08-11,sh.603100,川仪股份,8.56959792,8.56959792,8.56959792,8.56959792,809080,11472754.0,0.80908,10.0078,100000000.0,856959792.0,2026-07-14
2014-08-12,sh.603100,川仪股份,9.4277664,9.4277664,9.4277664,9.4277664,1649540,25732824.0,1.64954,10.0141,100000000.0,942776640.0,2026-07-14
2014-08-13,sh.603100,川仪股份,9.06516,8.48498976,9.06516,8.48498976,18200400,260233517.0,18.2004,-10.0,100000000.0,848498976.0,2026-07-14
2014-08-14,sh.603100,川仪股份,8.0377752,8.22512184,8.44268568,7.98942768,47794856,645528896.0,47.794856,-3.0627,100000000.0,822512184.0,2026-07-14
2014-08-15,sh.603100,川仪股份,8.28555624,8.14655712,8.3399472,8.0679924,20283584,273799232.0,20.283584,-0.9552,100000000.0,814655712.0000001,2026-07-14
2014-08-18,sh.603100,川仪股份,8.17677432,8.41851192,8.44268568,8.08007928,27355430,374048608.0,27.35543,3.3383,100000000.0,841851192.0,2026-07-14
2014-08-19,sh.603100,川仪股份,8.3399472,8.78111832,9.21020256,8.28555624,34619633,502643008.0,34.619633,4.3072,100000000.0,878111831.9999999,2026-07-14
2014-08-20,sh.603100,川仪股份,8.7025536,9.65741712,9.65741712,8.60585856,40656146,618206800.0,40.656146,9.9794,100000000.0,965741712.0,2026-07-14
2014-08-21,sh.603100,川仪股份,9.669504,9.28272384,9.77224248,9.13163784,43100141,673657136.0,43.100141,-3.8798,100000000.0,928272383.9999999,2026-07-14
2014-08-22,sh.603100,川仪股份,9.07120344,8.90803056,9.07724688,8.64816264,28015546,409428736.0,28.015546,-4.0365,100000000.0,890803056.0,2026-07-14
2014-08-25,sh.603100,川仪股份,8.81133552,9.07120344,9.34920168,8.81133552,25742239,386707792.0,25.742239,1.8318,100000000.0,907120344.0,2026-07-14
2014-08-26,sh.603100,川仪股份,8.8838568,8.49707664,8.8838568,8.460816,20267267,289550240.0,20.267267,-6.3291,100000000.0,849707664.0,2026-07-14
2014-08-27,sh.603100,川仪股份,8.50916352,8.50916352,8.60585856,8.46685944,8709600,123032115.0,8.7096,0.1422,100000000.0,850916352.0,2026-07-14
2014-08-28,sh.603100,川仪股份,8.55751104,8.33390376,8.57564136,8.32786032,9241016,128370393.0,9.241016,-2.0597,100000000.0,833390376.0,2026-07-14
2014-08-29,sh.603100,川仪股份,8.31577344,8.46685944,8.5514676,8.29764312,6553915,91542184.0,6.553915,1.5954,100000000.0,846685944.0,2026-07-14
2014-09-01,sh.603100,川仪股份,8.47290288,8.68442328,8.73881424,8.3399472,8740312,124088341.0,8.740312,2.5696,100000000.0,868442328.0000001,2026-07-14
2014-09-02,sh.603100,川仪股份,8.69651016,8.83550928,8.914074,8.63607576,13260155,193430202.0,13.260155,1.7397,100000000.0,883550928.0,2026-07-14
2014-09-03,sh.603100,川仪股份,8.914074,8.82946584,8.98659528,8.7327708,11020036,161073075.0,11.020036,-0.0684,100000000.0,882946583.9999999,2026-07-14
2014-09-04,sh.603100,川仪股份,8.80529208,9.0953772,9.29481072,8.7327708,20912363,314093440.0,20.912363,3.0116,100000000.0,909537720.0,2026-07-14
2014-09-05,sh.603100,川仪股份,9.04098624,8.95033464,9.08329032,8.87781336,11472428,169832515.0,11.472428,-1.5947,100000000.0,895033464.0,2026-07-14
2014-09-09,sh.603100,川仪股份,8.98055184,8.8838568,8.99868216,8.77507488,7463899,109512805.0,7.463899,-0.7427,100000000.0,888385680.0,2026-07-14
2014-09-10,sh.603100,川仪股份,8.8234224,9.20415912,9.24041976,8.75090112,20392541,306674640.0,20.392541,3.6054,100000000.0,920415912.0,2026-07-14
2014-09-11,sh.603100,川仪股份,9.2766804,9.13768128,9.29481072,8.9442912,18524358,279568192.0,18.524358,-0.7223,100000000.0,913768128.0000001,2026-07-14
2014-09-12,sh.603100,川仪股份,9.07724688,9.10746408,9.1255944,8.9442912,7926615,118745580.0,7.926615,-0.3307,100000000.0,910746408.0,2026-07-14
2014-09-15,sh.603100,川仪股份,9.0953772,9.10142064,9.16185504,9.02285592,7751108,116360981.0,7.751108,-0.0664,100000000.0,910142064.0000001,2026-07-14
2014-09-16,sh.603100,川仪股份,9.10746408,8.59377168,9.14976816,8.54542416,13678497,200431027.0,13.678497,-5.5777,100000000.0,859377168.0,2026-07-14
2014-09-17,sh.603100,川仪股份,8.61794544,8.68442328,8.7327708,8.56355448,6429066,92080221.0,6.429066,1.0548,100000000.0,868442328.0000001,2026-07-14
2014-09-18,sh.603100,川仪股份,8.63003232,8.60585856,8.6723364,8.53333728,5220759,74387527.0,5.220759,-0.9047,100000000.0,860585856.0,2026-07-14
2014-09-19,sh.603100,川仪股份,8.61794544,8.66629296,8.68442328,8.55751104,4390515,62787859.0,4.390515,0.7022,100000000.0,866629296.0,2026-07-14
2014-09-22,sh.603100,川仪股份,8.62398888,8.52729384,8.65420608,8.38829472,6229704,87693784.0,6.229704,-1.6039,100000000.0,852729384.0,2026-07-14
2014-09-23,sh.603100,川仪股份,8.51520696,8.58772824,8.63003232,8.4910332,4232001,59945505.0,4.232001,0.7087,100000000.0,858772824.0,2026-07-14
2014-09-24,sh.603100,川仪股份,8.5816848,8.75694456,8.78716176,8.5514676,8266753,118594625.0,8.266753,1.9704,100000000.0,875694456.0000001,2026-07-14
2014-09-25,sh.603100,川仪股份,8.76903144,8.70859704,8.9745084,8.6723364,8912915,130245245.0,8.912915,-0.5521,100000000.0,870859704.0000001,2026-07-14
