日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2012-01-04,sz.002015,协鑫能科,6.60940236,6.40984311,6.68124369,6.385896,2788418,22896454.58,1.544501,-2.5485,180538439.0,1157223069.3143053,2026-07-14
2012-01-05,sz.002015,协鑫能科,6.25019571,6.0666012,6.45773733,6.01072461,3861350,29976745.22,2.138796,-5.3549,180538490.0,1095255020.080188,2026-07-14
2012-01-06,sz.002015,协鑫能科,6.10651305,6.13046016,6.1464249,5.83511247,2754318,20664314.25,1.525613,1.0526,180538446.0,1106783750.5513115,2026-07-14
2012-01-09,sz.002015,协鑫能科,6.28212519,6.44177259,6.4657197,6.13844253,3183100,25292072.2,1.763114,5.0781,180538524.0,1162988115.3422573,2026-07-14
2012-01-10,sz.002015,协鑫能科,6.51361392,6.6253671,6.67326132,6.44177259,4086043,33711320.7,2.263253,2.8501,180538499.0,1196133831.557983,2026-07-14
2012-01-11,sz.002015,协鑫能科,6.57747288,6.6253671,6.80896161,6.56949051,3921438,32830512.17,2.172079,0.0,180538461.0,1196133579.794033,2026-07-14
2012-01-12,sz.002015,协鑫能科,6.60940236,6.69720843,6.72115554,6.56150814,3751514,31341922.96,2.077958,1.0843,180538490.0,1209103897.1674707,2026-07-14
2012-01-13,sz.002015,协鑫能科,6.67326132,6.99255612,7.31185092,6.6253671,11540259,100880352.15,6.392132,4.41,180538496.0,1262425565.1003954,2026-07-14
2012-01-16,sz.002015,协鑫能科,6.99255612,6.99255612,6.99255612,6.99255612,0,0.0,0.0,0.0,180538496.0,1262425565.1003954,2026-07-14
2012-01-17,sz.002015,协鑫能科,6.99255612,6.99255612,6.99255612,6.99255612,0,0.0,0.0,0.0,180538496.0,1262425565.1003954,2026-07-14
2012-01-18,sz.002015,协鑫能科,6.99255612,6.99255612,6.99255612,6.99255612,0,0.0,0.0,0.0,180538496.0,1262425565.1003954,2026-07-14
2012-01-19,sz.002015,协鑫能科,6.99255612,6.99255612,6.99255612,6.99255612,0,0.0,0.0,0.0,180538496.0,1262425565.1003954,2026-07-14
