日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2012-07-31,sz.002690,美亚光电,2.6305894,2.55566755,2.68386716,2.49240021,14145789,219827150.15,28.291578,-9.70588,50000000.0,127783377.5,2026-07-14
2012-08-01,sz.002690,美亚光电,2.59895573,2.60728038,2.65556335,2.50571965,9932493,154404645.49,19.864986,2.0195,50000000.0,130364019.00000001,2026-07-14
2012-08-02,sz.002690,美亚光电,2.54068318,2.65389842,2.67387758,2.5140443,9962301,156101257.92,19.924602,1.788,50000000.0,132694921.0,2026-07-14
2012-08-03,sz.002690,美亚光电,2.6139401,2.81040184,2.830381,2.5972908,11942899,196750012.12,23.885798,5.8971,50000000.0,140520092.0,2026-07-14
2012-08-06,sz.002690,美亚光电,2.75878901,2.81706156,2.84370044,2.70717618,9574232,160323155.64,19.148464,0.237,50000000.0,140853078.0,2026-07-14
2012-08-07,sz.002690,美亚光电,2.81872649,2.75046436,2.81872649,2.73215013,6861045,113987220.05,13.72209,-2.3641,50000000.0,137523218.0,2026-07-14
2012-08-08,sz.002690,美亚光电,2.72216055,2.69219181,2.74546957,2.64390884,4679044,75585343.77,9.358088,-2.1186,50000000.0,134609590.5,2026-07-14
2012-08-09,sz.002690,美亚光电,2.66888279,2.77876817,2.82205635,2.663888,5883951,97727930.9,11.767902,3.2158,50000000.0,138938408.5,2026-07-14
2012-08-10,sz.002690,美亚光电,2.81040184,2.79541747,2.89364834,2.78209803,8075802,137804607.71,16.151604,0.5992,50000000.0,139770873.5,2026-07-14
2012-08-13,sz.002690,美亚光电,2.7471345,2.76711366,2.82039142,2.6971866,4495682,74711744.47,8.991364,-1.0125,50000000.0,138355683.0,2026-07-14
2012-08-14,sz.002690,美亚光电,2.75545915,2.88199383,2.9136275,2.73547999,8439236,144280866.3,16.878472,4.1516,50000000.0,144099691.5,2026-07-14
2012-08-15,sz.002690,美亚光电,2.8636796,2.86034974,2.9136275,2.82205635,5737172,98720194.61,11.474344,-0.751,50000000.0,143017487.0,2026-07-14
2012-08-16,sz.002690,美亚光电,2.86201467,2.81872649,2.89031848,2.80041226,3333947,56925542.8,6.667894,-1.4552,50000000.0,140936324.5,2026-07-14
2012-08-17,sz.002690,美亚光电,2.80374212,2.90197299,2.92195215,2.77710324,6598724,113813693.55,13.197448,2.9533,50000000.0,145098649.5,2026-07-14
2012-08-20,sz.002690,美亚光电,2.9136275,2.97023512,3.02517781,2.8803289,7696940,136947978.19,15.39388,2.3523,50000000.0,148511756.0,2026-07-14
2012-08-21,sz.002690,美亚光电,2.996874,3.20665518,3.25493815,2.94359624,9924634,185026548.96,19.849268,7.9596,50000000.0,160332759.0,2026-07-14
2012-08-22,sz.002690,美亚光电,3.163367,3.3465093,3.46138947,3.1467177,10675839,213094468.33,21.351678,4.3614,50000000.0,167325465.0,2026-07-14
2012-08-23,sz.002690,美亚光电,3.32986,3.38646762,3.4131065,3.27325238,5733517,115393914.23,11.467034,1.194,50000000.0,169323381.0,2026-07-14
2012-08-24,sz.002690,美亚光电,3.33318986,3.2799121,3.40311692,3.26492773,5064723,100627729.92,10.129446,-3.1465,50000000.0,163995605.0,2026-07-14
2012-08-27,sz.002690,美亚光电,3.2133149,3.28823675,3.3631586,3.20499025,4190130,83256747.94,8.38026,0.2538,50000000.0,164411837.5,2026-07-14
2012-08-28,sz.002690,美亚光电,3.26825759,3.3465093,3.43808045,3.26492773,4865011,98065519.79,9.730022,1.7722,50000000.0,167325465.0,2026-07-14
2012-08-29,sz.002690,美亚光电,3.32986,3.38979748,3.65618628,3.32153535,5900060,123796905.47,11.80012,1.2935,50000000.0,169489874.0,2026-07-14
2012-08-30,sz.002690,美亚光电,3.33651972,3.2632628,3.39312734,3.09177501,5725887,112139695.62,11.451774,-3.73281,50000000.0,163163140.0,2026-07-14
2012-08-31,sz.002690,美亚光电,3.22330448,3.32986,3.35483395,3.22163955,3154022,62426797.74,6.308044,2.0408,50000000.0,166493000.0,2026-07-14
2012-09-03,sz.002690,美亚光电,3.32153535,3.50467765,3.5296516,3.27325238,3930743,80631592.15,7.861486,5.25,50000000.0,175233882.5,2026-07-14
2012-09-04,sz.002690,美亚光电,3.496353,3.57793457,3.6128981,3.4131065,4375394,92485662.07,8.750788,2.0903,50000000.0,178896728.5,2026-07-14
2012-09-05,sz.002690,美亚光电,3.5130023,3.48802835,3.59125401,3.48802835,1967154,41616683.09,3.934308,-2.5128,50000000.0,174401417.5,2026-07-14
2012-09-06,sz.002690,美亚光电,3.4797037,3.50134779,3.53464639,3.42309608,2369985,49503555.28,4.73997,0.3819,50000000.0,175067389.5,2026-07-14
2012-09-07,sz.002690,美亚光电,3.5130023,3.49968286,3.6461967,3.47137905,3881000,82635021.28,7.762,-0.0476,50000000.0,174984143.0,2026-07-14
2012-09-10,sz.002690,美亚光电,3.40311692,3.59458387,3.60124359,3.34817423,5327177,110382199.25,10.654354,2.7117,50000000.0,179729193.5,2026-07-14
2012-09-11,sz.002690,美亚光电,3.54963076,3.57626964,3.67783037,3.50467765,3400633,73480638.1,6.801266,-0.5095,50000000.0,178813482.0,2026-07-14
2012-09-12,sz.002690,美亚光电,3.56461513,3.69780953,3.75608208,3.56461513,3622520,80160691.85,7.24504,3.3985,50000000.0,184890476.5,2026-07-14
2012-09-13,sz.002690,美亚光电,3.68781995,3.64286684,3.80935984,3.61789289,2382089,52896856.02,4.764178,-1.4858,50000000.0,182143342.0,2026-07-14
2012-09-14,sz.002690,美亚光电,3.69114981,3.60124359,3.71112897,3.58459429,1845623,40237977.6,3.691246,-1.1426,50000000.0,180062179.5,2026-07-14
2012-09-17,sz.002690,美亚光电,3.59458387,3.47137905,3.6295474,3.42143115,2532090,53255527.41,5.06418,-3.6061,50000000.0,173568952.5,2026-07-14
2012-09-18,sz.002690,美亚光电,3.4630544,3.44973496,3.51966202,3.44141031,1032929,21547409.63,2.065858,-0.6235,50000000.0,172486748.0,2026-07-14
