日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2020-07-30,sh.605118,力鼎光电,10.23998826,12.28063224,12.28063224,10.23998826,137302,1819924.72,0.3349,43.9655,40997910.0,503480255.31861836,2026-07-14
2020-07-31,sh.605118,力鼎光电,13.5123723,13.5123723,13.5123723,13.5123723,32192,473222.4,0.0785,10.0299,41008917.0,554127754.1237991,2026-07-14
2020-08-03,sh.605118,力鼎光电,14.86360953,14.86360953,14.86360953,14.86360953,40371,652799.07,0.0985,10.0,40985787.0,609196734.24775,2026-07-14
2020-08-04,sh.605118,力鼎光电,16.35272811,16.35272811,16.35272811,16.35272811,48751,867280.29,0.1189,10.0186,41001682.0,670489357.798681,2026-07-14
2020-08-05,sh.605118,力鼎光电,17.98892013,17.98892013,17.98892013,17.98892013,101397,1984339.29,0.2473,10.0056,41001617.0,737574813.4138502,2026-07-14
2020-08-06,sh.605118,力鼎光电,19.79056977,19.79056977,19.79056977,19.79056977,111195,2394028.35,0.2712,10.0153,41001106.0,811435248.9401656,2026-07-14
2020-08-07,sh.605118,力鼎光电,21.76686912,21.76686912,21.76686912,21.76686912,250373,5928832.64,0.6107,9.9861,40997708.0,892391744.2559769,2026-07-14
2020-08-10,sh.605118,力鼎光电,23.94539445,23.94539445,23.94539445,23.94539445,305743,7964605.15,0.7457,10.0084,41000805.0,981780448.4925321,2026-07-14
2020-08-11,sh.605118,力鼎光电,25.0944057,22.32758661,25.0944057,22.061016,23841975,607797047.85,58.1512,-6.7562,40999971.0,915430403.5099883,2026-07-14
2020-08-12,sh.605118,力鼎光电,21.08665446,23.78912892,24.50611194,20.42482398,21102375,508319548.61,51.4692,6.5459,41000006.0,975354428.4547735,2026-07-14
2020-08-13,sh.605118,力鼎光电,22.95264873,23.4398295,25.23228705,22.32758661,20171745,523327738.25,49.1994,-1.4683,40999982.0,961032587.583069,2026-07-14
2020-08-14,sh.605118,力鼎光电,22.38273915,21.141807,22.6125414,21.09584655,14013744,332301196.28,34.1799,-9.8039,40999956.0,866813156.760492,2026-07-14
2020-08-17,sh.605118,力鼎光电,20.90281266,21.18776745,21.59221941,20.69139459,8988640,207124633.43,21.9235,0.2174,41000023.0,868698952.7686514,2026-07-14
2020-08-18,sh.605118,力鼎光电,21.2337279,22.07020809,22.3367787,21.141807,11334232,267322014.94,27.6445,4.1649,40999953.0,904877494.3902198,2026-07-14
2020-08-19,sh.605118,力鼎光电,21.70252449,20.6822025,21.7852533,20.64543414,9691159,222562683.65,23.637,-6.289,40999953.0,847969330.4364824,2026-07-14
2020-08-20,sh.605118,力鼎光电,20.42482398,20.72816295,21.03150192,19.77218559,7812968,172468838.28,19.056,0.2222,41000042.0,849855551.532844,2026-07-14
2020-08-21,sh.605118,力鼎光电,20.6822025,20.35128726,21.06827028,20.25017427,5559014,124811632.85,13.5586,-1.8182,40999911.0,834400966.3954338,2026-07-14
2020-08-24,sh.605118,力鼎光电,19.86410649,19.5791517,20.11229292,19.35854154,5632720,120232417.99,13.7383,-3.794,41000124.0,802747647.5148108,2026-07-14
2020-08-25,sh.605118,力鼎光电,19.64349633,19.81814604,20.04794829,19.49642289,4439101,95225795.55,10.8271,1.2207,40999908.0,812542164.3705642,2026-07-14
2020-08-26,sh.605118,力鼎光电,19.79056977,19.91006694,20.44320816,19.74460932,5168008,112476664.83,12.6049,0.4638,40999992.0,816312585.2594645,2026-07-14
2020-08-27,sh.605118,力鼎光电,19.78137768,19.0276263,19.78137768,18.76105569,5431388,112876585.88,13.2473,-4.4321,40999962.0,780131955.2502006,2026-07-14
2020-08-28,sh.605118,力鼎光电,18.8437845,19.04601048,19.2114681,18.7518636,2902296,59886732.04,7.0788,0.0966,40999830.0,780883191.8582184,2026-07-14
2020-08-31,sh.605118,力鼎光电,18.99085794,18.99085794,19.52399916,18.95408958,3059569,63946198.24,7.4624,-0.2896,40999799.0,778621358.3775542,2026-07-14
2020-09-01,sh.605118,力鼎光电,19.0276263,18.65075061,19.05520257,18.52206135,3055990,62112809.91,7.4536,-1.7909,41000188.0,764684281.3511146,2026-07-14
2020-09-02,sh.605118,力鼎光电,18.6599427,18.43014045,18.77024778,18.11760939,3657441,72962367.64,8.9206,-1.1828,40999944.0,755634726.3621348,2026-07-14
2020-09-03,sh.605118,力鼎光电,18.38418,18.11760939,18.42094836,18.06245685,2133418,42287768.36,5.2035,-1.6958,40999673.0,742816060.5317295,2026-07-14
2020-09-04,sh.605118,力鼎光电,17.79588624,18.32902746,18.53125344,17.63042862,2918758,57828147.66,7.1189,1.1669,41000126.0,751492435.31746,2026-07-14
2020-09-07,sh.605118,力鼎光电,18.4761009,18.66913479,18.92651331,18.03488058,4228335,85250978.34,10.313,1.8556,41000048.0,765435422.5084699,2026-07-14
2020-09-08,sh.605118,力鼎光电,18.6599427,18.14518566,18.6599427,17.98892013,3035661,60276896.89,7.4041,-2.8065,40999730.0,743947712.8598717,2026-07-14
2020-09-09,sh.605118,力鼎光电,18.0164964,17.35466592,18.0164964,17.35466592,2870259,55065478.56,7.0006,-4.3566,41000186.0,711544530.6878611,2026-07-14
2020-09-10,sh.605118,力鼎光电,17.58446817,16.22403885,17.58446817,16.04938914,3012995,54873322.36,7.3488,-6.5148,40999823.0,665182721.1951236,2026-07-14
