日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2012-01-04,sh.600572,康恩贝,2.136492,2.08011235,2.1424267,2.077145,4347116,30903956.0,0.728297,-0.8487,596887808.0,1241593700.9852288,2026-07-14
2012-01-05,sh.600572,康恩贝,2.06824295,2.02076535,2.077145,2.017798,3604515,24762719.0,0.603885,-2.8531,596887652.0,1206169885.0044582,2026-07-14
2012-01-06,sh.600572,康恩贝,2.00296125,2.0593409,2.06230825,1.9940592,2835285,19383462.0,0.475011,1.909,596888283.0,1229196453.9126747,2026-07-14
2012-01-09,sh.600572,康恩贝,2.07417765,2.1483614,2.15726345,2.05637355,6646164,47559365.0,1.113469,4.3228,596888104.0,1282331362.7527857,2026-07-14
2012-01-10,sh.600572,康恩贝,2.14539405,2.255186,2.26408805,2.13352465,10199634,76289530.0,1.708802,4.9724,596887995.0,1346093449.89207,2026-07-14
2012-01-11,sh.600572,康恩贝,2.2670554,2.2373819,2.2729901,2.2077084,9175108,69489761.0,1.537157,-0.7895,596888151.0,1335466745.371867,2026-07-14
2012-01-12,sh.600572,康恩贝,2.255186,2.36497795,2.3679453,2.24034925,19165261,149924500.0,3.210864,5.7029,596887972.0,1411626892.4002175,2026-07-14
2012-01-13,sh.600572,康恩贝,2.3679453,2.2492513,2.37388,2.24628395,12220590,94849734.0,2.047384,-4.8934,596888029.0,1342551175.1826878,2026-07-14
2012-01-16,sh.600572,康恩贝,2.195839,2.1542961,2.2492513,2.15132875,6081003,44977582.0,1.018785,-4.2216,596887763.0,1285872979.968624,2026-07-14
2012-01-17,sh.600572,康恩贝,2.15132875,2.2907942,2.3026636,2.1424267,8236101,62116766.0,1.37984,6.3361,596888117.0,1367347836.4725215,2026-07-14
2012-01-18,sh.600572,康恩贝,2.3026636,2.2433166,2.33530445,2.22847985,9179881,70813658.0,1.537957,-2.0725,596888014.0,1339008790.1472323,2026-07-14
2012-01-19,sh.600572,康恩贝,2.2255125,2.2729901,2.2967289,2.2255125,5036314,38511747.0,0.843762,1.3228,596887985.0,1356720480.7139485,2026-07-14
2012-01-20,sh.600572,康恩贝,2.2789248,2.31750035,2.3204677,2.255186,6282492,48642629.0,1.052541,1.9582,596888102.0,1383288385.2958357,2026-07-14
2012-01-30,sh.600572,康恩贝,2.29969625,2.2848595,2.32936975,2.2789248,4519788,35086289.0,0.757225,-1.4085,596888375.0,1363806074.0583124,2026-07-14
2012-01-31,sh.600572,康恩贝,2.28782685,2.2967289,2.314533,2.27002275,4034774,31151134.0,0.675968,0.5195,596888314.0,1370890640.8360748,2026-07-14
2012-02-01,sh.600572,康恩贝,2.29376155,2.34717385,2.37091265,2.2729901,11132623,87722446.0,1.865111,2.1964,596887960.0,1400999811.091846,2026-07-14
2012-02-02,sh.600572,康恩贝,2.32343505,2.35904325,2.35904325,2.314533,8118790,63984223.0,1.360187,0.5057,596887781.0,1408084090.7755282,2026-07-14
2012-02-03,sh.600572,康恩贝,2.3501412,2.37091265,2.3857494,2.32936975,8561050,68147842.0,1.434281,0.5031,596887918.0,1415169115.4183629,2026-07-14
2012-02-06,sh.600572,康恩贝,2.3798147,2.37091265,2.38278205,2.34123915,7176599,57075909.0,1.202336,0.0,596887975.0,1415169250.5603838,2026-07-14
2012-02-07,sh.600572,康恩贝,2.35904325,2.28782685,2.35904325,2.2848595,6664943,51902136.0,1.116615,-3.5044,596888184.0,1365576813.8029404,2026-07-14
2012-02-08,sh.600572,康恩贝,2.2848595,2.34123915,2.3442065,2.2729901,5321327,41521475.0,0.891512,2.3346,596887871.0,1397457251.7453496,2026-07-14
2012-02-09,sh.600572,康恩贝,2.3501412,2.4213576,2.4272923,2.3323371,15801660,127932061.0,2.647341,3.4221,596887972.0,1445279227.3507872,2026-07-14
2012-02-10,sh.600572,康恩贝,2.4272923,2.4035535,2.433227,2.3857494,8742268,70864708.0,1.464641,-0.7353,596888111.0,1434652508.3024385,2026-07-14
2012-02-13,sh.600572,康恩贝,2.3798147,2.433227,2.4569658,2.3620106,10366622,84781818.0,1.736778,1.2346,596888146.0,1452364352.827142,2026-07-14
