日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2012-01-04,sz.002458,益生股份,2.766024,2.65307802,2.8466997,2.65307802,1520897,36496163.53,4.33304,-4.2429,35099999.0,93123035.84892198,2026-07-14
2012-01-05,sz.002458,益生股份,2.65307802,2.535522,2.68073826,2.52975945,1579195,35490085.82,4.499131,-4.4309,35100000.0,88996822.19999999,2026-07-14
2012-01-06,sz.002458,益生股份,2.52053937,2.59891005,2.59891005,2.51016678,1234747,27265977.82,3.517798,2.5,35099997.0,91221734.95826985,2026-07-14
2012-01-09,sz.002458,益生股份,2.59084248,2.72338113,2.72453364,2.56318224,1359864,31478043.42,3.874256,4.7894,35100004.0,95590688.55652452,2026-07-14
2012-01-10,sz.002458,益生股份,2.72453364,2.87551245,2.9043252,2.72338113,2414620,59578505.46,6.879259,5.5861,35100001.0,100930489.87051246,2026-07-14
2012-01-11,sz.002458,益生股份,2.86744488,2.86859739,2.8928001,2.8236495,1603105,39772505.66,4.567251,-0.2405,35099998.0,100687762.65180522,2026-07-14
2012-01-12,sz.002458,益生股份,2.85246225,2.84554719,2.8928001,2.83402209,1357261,33708164.36,3.86684,-0.8035,35100004.0,99878717.75118876,2026-07-14
2012-01-13,sz.002458,益生股份,2.84554719,2.76026145,2.881275,2.73375372,1311191,31726090.02,3.735587,-2.9972,35099999.0,96885174.13473855,2026-07-14
2012-01-16,sz.002458,益生股份,2.7314487,2.68650081,2.78792169,2.67151818,700820,16567946.76,1.996638,-2.6722,35100003.0,94296186.49050243,2026-07-14
2012-01-17,sz.002458,益生股份,2.6738232,2.86513986,2.86513986,2.67151818,1111994,26954037.45,3.168074,6.6495,35100001.0,100566411.95113987,2026-07-14
2012-01-18,sz.002458,益生股份,2.86513986,2.8005993,2.8928001,2.79483675,1241648,30736525.06,3.537459,-2.2526,35099997.0,98301027.0282021,2026-07-14
2012-01-19,sz.002458,益生股份,2.82941205,2.83978464,2.86513986,2.766024,924180,22587986.23,2.632991,1.3992,35100006.0,99676457.90270784,2026-07-14
2012-01-20,sz.002458,益生股份,2.83978464,2.87896998,2.8928001,2.8236495,1387288,34593560.46,3.952387,1.3799,35100004.0,101051857.81387992,2026-07-14
2012-01-30,sz.002458,益生股份,2.91700281,2.87896998,2.91700281,2.85591978,1197057,30010340.94,3.410419,0.0,35099998.0,101051840.54006004,2026-07-14
2012-01-31,sz.002458,益生股份,2.9043252,2.9734758,3.02649126,2.9043252,2110391,54480000.93,6.01251,3.2826,35100000.0,104369000.58,2026-07-14
2012-02-01,sz.002458,益生股份,2.94466305,2.94120552,3.0656766,2.93774799,1965581,50966798.72,5.599946,-1.0853,35099999.0,103236310.81079449,2026-07-14
2012-02-02,sz.002458,益生股份,2.97578082,2.98154337,3.03340632,2.95388313,1563535,40552644.23,4.454516,1.3715,35099997.0,104652163.34236988,2026-07-14
2012-02-03,sz.002458,益生股份,2.99537349,3.03225381,3.06106656,2.97462831,1442458,37682333.44,4.109567,1.7008,35100000.0,106432108.73099999,2026-07-14
2012-02-06,sz.002458,益生股份,3.0541515,3.0311013,3.0656766,3.00689859,1210302,31785483.47,3.448154,-0.038,35099998.0,106391649.5677974,2026-07-14
2012-02-07,sz.002458,益生股份,3.01842369,2.95964568,3.02533875,2.9389005,1158200,29814993.88,3.299715,-2.3574,35100001.0,103883566.32764567,2026-07-14
2012-02-08,sz.002458,益生股份,2.95849317,3.0311013,3.03455883,2.93083293,1645461,42692438.7,4.687923,2.4143,35100001.0,106391658.6611013,2026-07-14
2012-02-09,sz.002458,益生股份,3.0311013,2.99767851,3.06337158,2.99076345,1382981,36317482.22,3.940117,-1.1027,35099998.0,105218509.70564298,2026-07-14
2012-02-10,sz.002458,益生股份,2.98730592,2.98615341,3.01035612,2.9734758,1169939,30369189.95,3.33316,-0.3845,35099995.0,104813969.76023296,2026-07-14
2012-02-13,sz.002458,益生股份,2.95849317,3.03686385,3.03686385,2.95618815,1652520,43219001.42,4.708034,1.6982,35100001.0,106593924.17186385,2026-07-14
2012-02-14,sz.002458,益生股份,3.0541515,3.03455883,3.0541515,3.01381365,941835,24781652.34,2.683291,-0.0759,35099995.0,106512999.76020585,2026-07-14
2012-02-15,sz.002458,益生股份,3.01611867,3.04723644,3.05760903,3.00920361,1351070,35585014.04,3.849202,0.4178,35100003.0,106958008.18570931,2026-07-14
2012-02-16,sz.002458,益生股份,3.0426264,3.13021716,3.1809276,3.03801636,2280903,61732166.62,6.498299,2.7231,35100001.0,109870625.44621716,2026-07-14
2012-02-17,sz.002458,益生股份,3.1233021,3.1002519,3.14519979,3.08642178,839850,22676670.29,2.392735,-0.9573,35100001.0,108818844.7902519,2026-07-14
2012-02-20,sz.002458,益生股份,3.15557238,3.1348272,3.1578774,3.0887268,1056146,28562963.37,3.008963,1.1152,35100000.0,110032434.72,2026-07-14
2012-02-21,sz.002458,益生股份,3.12906465,3.14750481,3.14750481,3.0656766,1011120,27382768.96,2.880684,0.4044,35099997.0,110477409.38848557,2026-07-14
2012-02-22,sz.002458,益生股份,3.16018242,3.31231374,3.3307539,3.16018242,2215019,62284859.14,6.310595,5.2362,35100002.0,116262218.89862747,2026-07-14
2012-02-23,sz.002458,益生股份,3.2961786,3.29848362,3.3999045,3.25238322,1819610,52473388.96,5.184074,-0.4175,35100001.0,115776778.36048362,2026-07-14
2012-02-24,sz.002458,益生股份,3.31461876,3.342279,3.35841414,3.25929828,1564457,44993934.3,4.457142,1.3277,35100004.0,117314006.269116,2026-07-14
2012-02-27,sz.002458,益生股份,3.34804155,3.45522498,3.57047598,3.34804155,2594290,78063571.05,7.39114,3.3793,35099998.0,121278389.88755004,2026-07-14
2012-02-28,sz.002458,益生股份,3.42525972,3.64077909,3.67304937,3.4229547,3458245,106455372.93,9.85255,5.3702,35099999.0,127791342.4182209,2026-07-14
2012-02-29,sz.002458,益生股份,3.79982547,3.72375981,3.84131583,3.55549335,9295426,300363316.74,26.482695,2.2792,35100000.0,130703969.33099999,2026-07-14
2012-03-01,sz.002458,益生股份,3.6419316,3.66037176,3.68226945,3.61427136,2675169,84797565.34,7.621564,-1.7023,35100000.0,128479048.776,2026-07-14
2012-03-02,sz.002458,益生股份,3.66152427,3.69609957,3.70877718,3.66152427,2020268,64674453.83,5.755749,0.9761,35100002.0,129733102.29919913,2026-07-14
2012-03-05,sz.002458,益生股份,3.69609957,3.77447025,3.83209575,3.69609957,2921930,95742443.99,8.324587,2.1204,35100000.0,132483905.77499999,2026-07-14
2012-03-06,sz.002458,益生股份,3.73989495,3.68457447,3.76755519,3.63271152,2204075,70397210.83,6.279416,-2.3817,35100000.0,129328563.897,2026-07-14
2012-03-07,sz.002458,益生股份,3.63501654,3.75026754,3.8378583,3.6188814,2715931,88491112.96,7.737695,1.7829,35100001.0,131634394.40426753,2026-07-14
2012-03-08,sz.002458,益生股份,3.7571826,3.803283,3.82172316,3.7226073,2184345,71527921.81,6.223205,1.4136,35100001.0,133495237.103283,2026-07-14
