日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2012-01-04,sz.300098,高新兴,1.8289128,1.7351224,1.8289128,1.7308592,126000,2621232.0,0.405733,-4.6392,31054906.0,53884063.0304944,2026-07-14
2012-01-05,sz.300098,高新兴,1.73768032,1.61831072,1.73768032,1.58420512,282288,5393933.79,0.908996,-6.7322,31054922.0,50256513.181363836,2026-07-14
2012-01-06,sz.300098,高新兴,1.58505776,1.57141552,1.60893168,1.54157312,299990,5491363.9,0.965998,-2.8978,31054930.0,48800198.9745136,2026-07-14
2012-01-09,sz.300098,高新兴,1.577384,1.65667952,1.65753216,1.55777328,360770,6743431.92,1.161716,5.4259,31054922.0,51448053.27259744,2026-07-14
2012-01-10,sz.300098,高新兴,1.64474256,1.6924904,1.7095432,1.62683712,355513,6996648.24,1.144788,2.1616,31054920.0,52560153.972768,2026-07-14
2012-01-11,sz.300098,高新兴,1.6711744,1.69078512,1.70272208,1.66520592,185469,3658500.77,0.597229,-0.1008,31054922.0,52507200.02036064,2026-07-14
2012-01-12,sz.300098,高新兴,1.69078512,1.66435328,1.6967536,1.66435328,105460,2073826.4,0.339592,-1.5633,31054913.0,51686346.31166464,2026-07-14
2012-01-13,sz.300098,高新兴,1.67202704,1.55095216,1.67202704,1.55095216,307200,5695586.43,0.989215,-6.8135,31054927.0,48164706.10929232,2026-07-14
2012-01-16,sz.300098,高新兴,1.53560464,1.40088752,1.53645728,1.39577168,564050,9420711.05,1.816298,-9.6756,31054926.0,43504458.26792352,2026-07-14
2012-01-17,sz.300098,高新兴,1.41367712,1.44607744,1.48956208,1.29942336,602640,9721302.31,1.940562,3.2258,31054921.0,44907820.65908224,2026-07-14
2012-01-18,sz.300098,高新兴,1.4239088,1.37445568,1.43925632,1.35228704,279638,4590861.72,0.900463,-4.9528,31054913.0,42683601.56475584,2026-07-14
2012-01-19,sz.300098,高新兴,1.38639264,1.38383472,1.38809792,1.3301184,207436,3316365.5,0.667965,0.6824,31054921.0,42974877.90665712,2026-07-14
2012-01-20,sz.300098,高新兴,1.38383472,1.39662432,1.39747696,1.3684872,100850,1639913.5,0.324747,0.9242,31054944.0,43372090.04663808,2026-07-14
