日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,换手率,涨跌幅,流通股数,流通市值,数据日期
2020-09-07,sh.601702,华峰铝业,4.15215483,4.97696211,4.97696211,4.15215483,1419137,7513969.47,0.5685,43.9024,249628320.0,1242390690.2229552,2026-07-14
2020-09-08,sh.601702,华峰铝业,5.47372104,5.47372104,5.47372104,5.47372104,401143,2342675.12,0.1607,9.9812,249622278.0,1366362715.141329,2026-07-14
2020-09-09,sh.601702,华峰铝业,6.01734402,6.01734402,6.01734402,6.01734402,625153,4013482.26,0.2504,9.9315,249661741.0,1502300584.2291389,2026-07-14
2020-09-10,sh.601702,华峰铝业,6.61720386,6.61720386,6.61720386,6.61720386,993369,7013185.14,0.3979,9.9688,249652928.0,1652004318.821902,2026-07-14
2020-09-11,sh.601702,华峰铝业,7.28267337,7.28267337,7.28267337,6.2797827,157447611,1159717227.92,63.0724,10.0567,249629967.0,1817973513.024879,2026-07-14
2020-09-14,sh.601702,华峰铝业,6.88901535,6.76716882,7.02023469,6.55159419,128476091,923153890.86,51.4666,-7.0785,249630034.0,1689288582.6203399,2026-07-14
2020-09-15,sh.601702,华峰铝业,6.6546951,6.68281353,6.82340568,6.4672389,79613588,564960214.87,31.8926,-1.2465,249630284.0,1668232639.4129424,2026-07-14
2020-09-16,sh.601702,华峰铝业,6.82340568,7.34828304,7.34828304,6.79528725,71911032,548340254.57,28.807,9.9579,249630409.0,1834354900.7229633,2026-07-14
2020-09-17,sh.601702,华峰铝业,7.66695858,7.3107918,7.8731604,7.17019965,144422186,1158499230.99,57.8545,-0.5102,249629996.0,1824992927.7908328,2026-07-14
2020-09-18,sh.601702,华峰铝业,7.11396279,7.06709874,7.20769089,6.79528725,80689589,597573188.92,32.3237,-3.3333,249629804.0,1764158473.3148468,2026-07-14
2020-09-21,sh.601702,华峰铝业,7.0296075,7.30141899,7.30141899,6.89838816,63907660,483153218.3,25.601,3.3156,249629546.0,1822649907.6294787,2026-07-14
2020-09-22,sh.601702,华峰铝业,7.06709874,7.34828304,7.58260329,7.03898031,83449258,652191648.39,33.4292,0.6418,249629839.0,1834350712.2016306,2026-07-14
2020-09-23,sh.601702,华峰铝业,7.34828304,7.60134891,8.07936222,7.34828304,125500942,1045980566.5,50.2748,3.4439,249629918.0,1897524105.0926893,2026-07-14
2020-09-24,sh.601702,华峰铝业,7.32016461,6.85152411,7.32953742,6.8421513,100843950,751684676.99,40.3974,-9.8644,249629803.0,1710344613.8290503,2026-07-14
2020-09-25,sh.601702,华峰铝业,6.80466006,6.61720386,6.8421513,6.32664675,57161661,400316239.29,22.8986,-3.42,249629501.0,1651849297.5870738,2026-07-14
2020-09-28,sh.601702,华峰铝业,6.51410295,6.16730898,6.54222138,6.11107212,42233893,283643923.69,16.9186,-6.7989,249629952.0,1539545044.6465688,2026-07-14
2020-09-29,sh.601702,华峰铝业,6.19542741,6.14856336,6.31727394,6.12981774,27084947,179255880.41,10.85,-0.304,249630848.0,1534871085.5385292,2026-07-14
2020-09-30,sh.601702,华峰铝业,6.17668179,5.94236154,6.19542741,5.9048703,30719983,196734705.68,12.3062,-3.3537,249630130.0,1483392483.7372003,2026-07-14
2020-10-09,sh.601702,华峰铝业,6.07358088,6.23291865,6.32664675,6.00797121,33711755,221840533.18,13.5047,4.8896,249629796.0,1555922211.0840955,2026-07-14
